travel_time_m,mode,origin,destination
31.95,driving,4,62
32.4,driving,4,63
54.81666666666667,driving,4,64
32.43333333333333,driving,4,65
50.6,driving,4,66
43.4,driving,5,1
40.5,driving,5,2
47.233333333333334,driving,5,3
8.383333333333333,driving,5,4
0,driving,5,5
11.266666666666667,driving,5,6
9.516666666666667,driving,5,7
10.633333333333333,driving,5,8
31.3,driving,5,9
36.88333333333333,driving,5,10
48.96666666666667,driving,5,11
19.8,driving,5,12
20.116666666666667,driving,5,13
23.266666666666666,driving,5,14
12.666666666666666,driving,5,15
17.5,driving,5,16
25.466666666666665,driving,5,17
47.88333333333333,driving,5,18
18.083333333333332,driving,5,19
54.083333333333336,driving,5,20
45.71666666666667,driving,5,21
24.566666666666666,driving,5,22
44.333333333333336,driving,5,23
46.13333333333333,driving,5,24
45.96666666666667,driving,5,25
71,driving,5,26
45.266666666666666,driving,5,27
37.46666666666667,driving,5,28
42.1,driving,5,29
43.93333333333333,driving,5,30
50.31666666666667,driving,5,31
46.6,driving,5,32
39.28333333333333,driving,5,33
41.25,driving,5,34
38.11666666666667,driving,5,35
41.38333333333333,driving,5,36
52.21666666666667,driving,5,37
59.05,driving,5,38
55.15,driving,5,39
62.96666666666667,driving,5,40
44.96666666666667,driving,5,41
52.55,driving,5,42
27.633333333333333,driving,5,43
38.61666666666667,driving,5,44
43.766666666666666,driving,5,45
33.03333333333333,driving,5,46
38.28333333333333,driving,5,47
35,driving,5,48
32.53333333333333,driving,5,49
36.06666666666667,driving,5,50
21.983333333333334,driving,5,51
18.333333333333332,driving,5,52
29.483333333333334,driving,5,53
22.3,driving,5,54
58.766666666666666,driving,5,55
59.06666666666667,driving,5,56
60.083333333333336,driving,5,57
13.666666666666666,driving,5,58
38.63333333333333,driving,5,59
29.95,driving,5,60
33.916666666666664,driving,5,61
31.1,driving,5,62
31.55,driving,5,63
50.583333333333336,driving,5,64
28.2,driving,5,65
46.36666666666667,driving,5,66
42.96666666666667,driving,6,1
40.06666666666667,driving,6,2
46.8,driving,6,3
10.933333333333334,driving,6,4
11.083333333333334,driving,6,5
0,driving,6,6
8.133333333333333,driving,6,7
13.116666666666667,driving,6,8
31.666666666666668,driving,6,9
36.45,driving,6,10
43.96666666666667,driving,6,11
14.8,driving,6,12
20.5,driving,6,13
18.266666666666666,driving,6,14
7.666666666666667,driving,6,15
12.5,driving,6,16
26.1,driving,6,17
48.266666666666666,driving,6,18
18.45,driving,6,19
56.9,driving,6,20
40.71666666666667,driving,6,21
19.566666666666666,driving,6,22
45.85,driving,6,23
47.65,driving,6,24
45.55,driving,6,25
70.56666666666666,driving,6,26
44.833333333333336,driving,6,27
37.03333333333333,driving,6,28
41.666666666666664,driving,6,29
43.5,driving,6,30
49.88333333333333,driving,6,31
46.166666666666664,driving,6,32
38.85,driving,6,33
40.81666666666667,driving,6,34
37.68333333333333,driving,6,35
40.95,driving,6,36
51.78333333333333,driving,6,37
58.61666666666667,driving,6,38
54.71666666666667,driving,6,39
62.53333333333333,driving,6,40
44.53333333333333,driving,6,41
52.11666666666667,driving,6,42
27.216666666666665,driving,6,43
38.18333333333333,driving,6,44
43.333333333333336,driving,6,45
32.6,driving,6,46
37.85,driving,6,47
34.583333333333336,driving,6,48
32.11666666666667,driving,6,49
36.3,driving,6,50
22.35,driving,6,51
19.85,driving,6,52
31,driving,6,53
23.816666666666666,driving,6,54
58.333333333333336,driving,6,55
58.63333333333333,driving,6,56
59.65,driving,6,57
15.166666666666666,driving,6,58
38.75,driving,6,59
31.466666666666665,driving,6,60
35.43333333333333,driving,6,61
26.1,driving,6,62
26.55,driving,6,63
52.1,driving,6,64
28.583333333333332,driving,6,65
45.93333333333333,driving,6,66
40.56666666666667,driving,7,1
37.666666666666664,driving,7,2
44.4,driving,7,3
9.666666666666666,driving,7,4
8.266666666666667,driving,7,5
6.833333333333333,driving,7,6
0,driving,7,7
7.5,driving,7,8
28.466666666666665,driving,7,9
34.05,driving,7,10
42.016666666666666,driving,7,11
12.85,driving,7,12
17.266666666666666,driving,7,13
16.316666666666666,driving,7,14
8.233333333333333,driving,7,15
10.55,driving,7,16
22.633333333333333,driving,7,17
45.03333333333333,driving,7,18
15.233333333333333,driving,7,19
55.65,driving,7,20
38.766666666666666,driving,7,21
17.616666666666667,driving,7,22
41.5,driving,7,23
43.3,driving,7,24
43.13333333333333,driving,7,25
68.16666666666667,driving,7,26
42.43333333333333,driving,7,27
34.63333333333333,driving,7,28
39.266666666666666,driving,7,29
41.1,driving,7,30
47.483333333333334,driving,7,31
43.766666666666666,driving,7,32
36.45,driving,7,33
38.416666666666664,driving,7,34
35.28333333333333,driving,7,35
38.55,driving,7,36
49.38333333333333,driving,7,37
56.21666666666667,driving,7,38
52.31666666666667,driving,7,39
60.13333333333333,driving,7,40
42.13333333333333,driving,7,41
49.71666666666667,driving,7,42
24.8,driving,7,43
35.78333333333333,driving,7,44
40.93333333333333,driving,7,45
30.2,driving,7,46
35.45,driving,7,47
32.166666666666664,driving,7,48
29.7,driving,7,49
33.233333333333334,driving,7,50
19.15,driving,7,51
15.5,driving,7,52
26.65,driving,7,53
19.466666666666665,driving,7,54
55.93333333333333,driving,7,55
56.233333333333334,driving,7,56
57.25,driving,7,57
10.816666666666666,driving,7,58
35.8,driving,7,59
27.116666666666667,driving,7,60
31.083333333333332,driving,7,61
24.15,driving,7,62
24.6,driving,7,63
47.75,driving,7,64
25.35,driving,7,65
43.53333333333333,driving,7,66
37.63333333333333,driving,8,1
34.733333333333334,driving,8,2
41.46666666666667,driving,8,3
18.016666666666666,driving,8,4
14.7,driving,8,5
14.566666666666666,driving,8,6
10.733333333333333,driving,8,7
0,driving,8,8
25.533333333333335,driving,8,9
31.116666666666667,driving,8,10
44.68333333333333,driving,8,11
15.516666666666667,driving,8,12
14.333333333333334,driving,8,13
18.983333333333334,driving,8,14
12.65,driving,8,15
13.216666666666667,driving,8,16
17.266666666666666,driving,8,17
42.1,driving,8,18
12.3,driving,8,19
53.65,driving,8,20
41.43333333333333,driving,8,21
20.283333333333335,driving,8,22
